(16, 8, 9)
(15, 7, 8)
(16, 8, 9)
(17, 8, 10)
(17, 8, 10)
(16, 7, 9)
(16, 7, 9)
(16, 7, 9)
(16, 7, 9)
(16, 7, 9)
(15, 7, 8)
(15, 7, 8)
(16, 7, 9)
(16, 7, 10)
(16, 7, 10)
(16, 7, 10)
(16, 7, 10)
(15, 7, 9)
(15, 6, 8)
(14, 6, 8)
(14, 6, 7)
(12, 5, 6)
(11, 5, 6)
(11, 5, 6)
(12, 5, 6)
(12, 6, 6)
(13, 6, 7)
(13, 6, 7)
(13, 6, 8)
(13, 6, 8)
(13, 6, 8)
(13, 6, 8)
(13, 6, 8)
(13, 5, 7)
(12, 5, 7)
(12, 5, 6)
(11, 5, 5)
(10, 4, 5)
(9, 4, 5)
(9, 4, 5)
(10, 4, 5)
(11, 5, 5)
(11, 5, 6)
(13, 5, 7)
(13, 5, 7)
(12, 5, 7)
(11, 5, 6)
(11, 5, 5)
(10, 4, 5)
(10, 4, 5)
(10, 4, 5)
(10, 4, 5)
(10, 4, 5)
(10, 4, 5)
(10, 4, 6)
(11, 4, 6)
(10, 4, 6)
(10, 4, 6)
(10, 4, 6)
(10, 4, 6)
(10, 4, 5)
(9, 4, 5)
(9, 4, 4)
(9, 4, 5)
(9, 4, 5)
(9, 4, 5)
(9, 4, 5)
(9, 4, 4)
(10, 4, 5)
(10, 4, 5)
(11, 4, 6)
(12, 5, 6)
(12, 6, 6)
(11, 5, 6)
(11, 5, 6)
(11, 5, 6)
(11, 5, 6)
(11, 5, 6)
(10, 4, 6)
(9, 4, 5)
(9, 4, 5)
(21, 11, 10)
(22, 11, 10)
(22, 10, 10)
(22, 11, 10)
(22, 11, 10)
(22, 10, 10)
(21, 10, 10)
(21, 10, 10)
(21, 10, 10)
(19, 9, 9)
(19, 9, 8)
(20, 10, 10)
(21, 10, 10)
(21, 11, 10)
(22, 11, 11)
(20, 10, 10)
(20, 10, 10)
(20, 10, 10)
(20, 10, 10)
(20, 10, 9)
(20, 9, 9)
(20, 10, 9)
(20, 10, 10)
(20, 10, 10)
(20, 9, 9)
(20, 10, 9)
(22, 11, 11)
(21, 11, 11)
(21, 11, 10)
(19, 10, 9)
(18, 9, 8)
(19, 9, 9)
(21, 10, 10)
(20, 10, 10)
(20, 10, 10)
(20, 10, 9)
(20, 10, 9)
(20, 10, 9)
(19, 9, 9)
(20, 10, 9)
(20, 10, 9)
(20, 10, 9)
(19, 9, 9)
(19, 10, 9)
(19, 9, 9)
(18, 9, 9)
(20, 10, 9)
(20, 10, 9)
(20, 10, 10)
(21, 11, 11)
(21, 11, 11)
(21, 10, 10)
(20, 10, 10)
(20, 10, 10)
(20, 10, 10)
(20, 10, 9)
(20, 10, 10)
(20, 10, 10)
(20, 10, 10)
(20, 10, 9)
(20, 10, 10)
(21, 10, 10)
(20, 10, 10)
(19, 10, 9)
(19, 9, 9)
(20, 10, 10)
(20, 10, 10)
(21, 10, 10)
(19, 10, 10)
(18, 8, 8)
(16, 8, 8)
(17, 8, 8)
(18, 9, 9)
(19, 10, 9)
(19, 10, 9)
(19, 10, 9)
(17, 8, 8)
(17, 8, 8)
(20, 10, 10)
(20, 10, 10)
(18, 9, 8)
(19, 10, 9)
(19, 10, 10)
(19, 10, 9)
(17, 8, 8)
(17, 8, 8)
(18, 8, 8)
(19, 10, 9)
(19, 10, 9)
(19, 10, 9)
(19, 9, 9)
(18, 8, 8)
(20, 10, 10)
(21, 10, 10)
(19, 9, 9)
(18, 8, 8)
(19, 10, 9)
(19, 10, 10)
(19, 10, 10)
(19, 10, 9)
(19, 9, 9)
(19, 10, 10)
(19, 10, 10)
(19, 9, 9)
(18, 8, 8)
(18, 9, 8)
(20, 10, 10)
(21, 10, 10)
(20, 10, 10)
(19, 9, 9)
(16, 8, 8)
(16, 8, 8)
(17, 8, 8)
(19, 10, 9)
(19, 10, 10)
(18, 8, 8)
(19, 9, 9)
(19, 10, 10)
(19, 10, 10)
(18, 9, 8)
(17, 8, 8)
(19, 9, 9)
(18, 9, 8)
(17, 8, 8)
(17, 8, 8)
(18, 8, 8)
(19, 10, 9)
(20, 10, 10)
(19, 10, 10)
(19, 9, 9)
(20, 10, 10)
(20, 10, 10)
(20, 10, 10)
(20, 10, 10)
(20, 10, 10)
(19, 10, 9)
(19, 9, 9)
(19, 9, 9)
(19, 9, 9)
(19, 10, 10)
(18, 8, 8)
(17, 8, 8)
(18, 9, 8)
(19, 10, 9)
(19, 9, 9)
(19, 10, 9)
(19, 10, 10)
